               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084266,             0.10015,            0.053112,             0.21929,             0.19267,            0.074148,            0.028573,             0.06145,            0.078689,            0.038997,            0.070182,           0.0033131,           0.0033131
                   1,            0.064741,            0.089004,            0.038167,              0.5044,             0.22258,             0.10837,            0.044796,            0.056314,            0.077056,            0.031427,            0.039919,           0.0063833,           0.0063833
                   2,            0.061051,            0.086603,            0.033118,             0.68399,             0.24737,             0.13768,            0.059439,            0.054931,            0.075786,            0.028508,           0.0093914,           0.0091894,           0.0091894
                   3,            0.053957,            0.085069,            0.031134,             0.53302,             0.34652,             0.16723,            0.086422,            0.043893,            0.075799,             0.02746,            0.008812,            0.008812,            0.008812
                   4,            0.047635,            0.084138,            0.029629,             0.55646,             0.31262,             0.19426,             0.10694,            0.040855,            0.079042,            0.026466,            0.008812,            0.008812,            0.008812
                   5,            0.044901,            0.083273,            0.028374,             0.56729,             0.31529,             0.21667,             0.12827,            0.039214,             0.07944,             0.02545,            0.008416,            0.008416,            0.008416
                   6,            0.042946,            0.081696,            0.026497,              0.4217,             0.33479,             0.23102,             0.13201,            0.039194,            0.077775,            0.024718,             0.00802,             0.00802,             0.00802
                   7,            0.041767,            0.079531,            0.025144,             0.61425,             0.33816,             0.25241,             0.15499,            0.037566,            0.079036,            0.022989,            0.007624,            0.007624,            0.007624
                   8,            0.040365,            0.077055,             0.02395,             0.62171,             0.35552,             0.25561,             0.15847,            0.036464,            0.079809,            0.023074,            0.007228,            0.007228,            0.007228
                   9,            0.039571,            0.076978,            0.022363,             0.66815,             0.32043,             0.27145,             0.16382,            0.036952,            0.079909,            0.023215,            0.006832,            0.006832,            0.006832
                  10,            0.038442,            0.077176,            0.020988,             0.66181,             0.31683,             0.27358,             0.16728,            0.036949,            0.077603,            0.022325,            0.006436,            0.006436,            0.006436
                  11,            0.038345,            0.075703,            0.019533,             0.70167,             0.30446,             0.30807,              0.1978,            0.035357,            0.082327,            0.022136,             0.00604,             0.00604,             0.00604
                  12,            0.037127,            0.073536,            0.018544,             0.63139,             0.32781,             0.32901,             0.21221,            0.035843,            0.080384,            0.021963,            0.005644,            0.005644,            0.005644
                  13,            0.036467,            0.074426,            0.017505,             0.63957,              0.3155,             0.34323,             0.22393,            0.034506,            0.082311,            0.022622,            0.005248,            0.005248,            0.005248
                  14,            0.035736,            0.073045,              0.0171,             0.57888,             0.38687,             0.35193,             0.23047,            0.035183,            0.080894,            0.022261,            0.004852,            0.004852,            0.004852
                  15,            0.035549,            0.073506,             0.01646,             0.58943,              0.4201,             0.36397,             0.24447,            0.033912,            0.077781,            0.021572,            0.004456,            0.004456,            0.004456
                  16,            0.034748,            0.071928,            0.015468,             0.50121,             0.43737,             0.37766,             0.25265,            0.033693,            0.079767,             0.02073,             0.00406,             0.00406,             0.00406
                  17,            0.034117,            0.071379,            0.014655,             0.53948,               0.418,              0.3811,             0.25474,            0.034054,            0.076791,            0.020365,            0.003664,            0.003664,            0.003664
                  18,            0.033803,            0.071185,            0.014237,             0.54184,             0.41457,             0.38119,             0.25925,            0.033942,            0.082681,            0.021437,            0.003268,            0.003268,            0.003268
                  19,            0.033604,            0.070655,            0.013257,             0.55141,             0.39808,             0.37358,             0.25416,            0.033376,             0.07969,             0.02229,            0.002872,            0.002872,            0.002872
                  20,            0.032692,             0.07043,            0.013109,             0.56595,             0.40716,             0.39001,             0.26423,            0.033318,            0.079537,             0.02079,            0.002476,            0.002476,            0.002476
                  21,            0.032543,            0.070396,            0.012333,              0.5298,             0.47465,             0.39035,             0.26646,            0.033084,            0.077965,            0.021124,             0.00208,             0.00208,             0.00208
                  22,            0.032277,            0.069824,            0.011956,             0.50016,             0.48778,              0.3975,             0.27281,            0.033215,             0.07975,            0.021615,            0.001684,            0.001684,            0.001684
                  23,            0.032165,            0.071081,            0.011687,             0.46393,             0.50779,             0.38597,             0.26695,             0.03303,            0.083894,            0.023448,            0.001288,            0.001288,            0.001288
                  24,            0.031773,            0.069819,            0.011455,             0.48207,             0.49887,             0.39082,             0.26921,            0.033119,            0.083563,            0.023508,            0.000892,            0.000892,            0.000892
